Company Name,Car Name,Variant,Fuel Type,Tyre Condition,Make Year,Owner Type,Registration Number,Mileage,Price,Transmission Type,Body Color,Service Record,Insurance,Registration Certificate,Accessories
Chevrolet,Seltos,XL,Diesel,Needs Replacement,2021.0,First,68-505-5225,193202.0,353059.0,Automatic,Grey,Major Service at 142838 km,No Current Insurance,Available,"Leather Seats, GPS"
Nissan,Elantra,GT,Diesel,New,2019.0,Third,34-652-9677,148558.0,447275.0,Automatic (Tiptronic),Gold,Major Service at 144631 km,Valid Until [date],Available,"Sunroof, Music System"
Volkswagen,Seltos,ZXI,Petrol,Needs Replacement,2022.0,Second,74-483-6720,24180.0,725407.0,Automatic,Grey,Full Service History,No Current Insurance,Available,"Music System, Sunroof"
Toyota,Cruze,LE,Diesel,Needs Replacement,2022.0,Third,73-948-1320,13472.0,566495.0,Automatic,Black,No Service Record,Valid Until [date],Available,"GPS, Sunroof, Music System"
Toyota,Camry,Highline,Petrol,New,2015.0,First,80-196-1230,17464.0,927888.0,Manual,Blue,Full Service History,No Current Insurance,Available,GPS
Toyota,Cruze,Highline,CNG,New,2022.0,Third,87-803-6752,12427.0,558084.0,Automatic,Gold,Full Service History,Valid Until [date],Not Available,"Leather Seats, GPS, Music System"
Renault,Polo,LE,CNG,Used,2023.0,Third,30-668-4549,153769.0,646429.0,Automatic,Maroon,Full Service History,No Current Insurance,Available,Leather Seats
Nissan,Elantra,XL,CNG,Used,2018.0,Second,42-739-2554,185150.0,599802.0,Automatic (Tiptronic),Grey,Major Service at 107351 km,Valid Until [date],Not Available,"Leather Seats, Sunroof, GPS"
Kia,Sunny,LE,Diesel,Used,2017.0,First,86-197-7043,198556.0,716891.0,Automatic,Blue,No Service Record,No Current Insurance,Not Available,"Sunroof, Music System, Alloy Wheels, GPS"
Hyundai,Accord,LE,Petrol,Used,2022.0,Third,59-275-6632,116856.0,890914.0,Manual,Grey,No Service Record,Valid Until [date],Not Available,"Sunroof, Alloy Wheels, Leather Seats, GPS"
Kia,Elantra,EX,CNG,Used,2018.0,Second,45-420-2586,184566.0,872862.0,Manual,Red,No Service Record,No Current Insurance,Available,"GPS, Leather Seats, Music System, Sunroof"
Nissan,Elantra,Highline,Diesel,Needs Replacement,2020.0,First,63-285-3411,14052.0,333362.0,Automatic (Tiptronic),Gold,Major Service at 144984 km,No Current Insurance,Available,Sunroof
Chevrolet,Polo,ZXI,CNG,Used,2022.0,Third,86-447-4499,189689.0,599525.0,Automatic (Tiptronic),Blue,Full Service History,No Current Insurance,Not Available,Sunroof
Honda,Kwid,LE,Diesel,Needs Replacement,2020.0,First,59-399-5330,130700.0,209682.0,Automatic (Tiptronic),Grey,Full Service History,No Current Insurance,Not Available,"GPS, Alloy Wheels, Music System"
Honda,Cruze,RXE,Petrol,New,2022.0,Third,25-560-2576,141144.0,468368.0,Automatic (Tiptronic),Silver,Major Service at 109855 km,No Current Insurance,Not Available,"Alloy Wheels, Music System, GPS"
Nissan,Accord,Highline,Petrol,New,2019.0,Third,19-373-4706,148501.0,926156.0,Automatic (Tiptronic),Gold,Major Service at 103355 km,Valid Until [date],Not Available,"Alloy Wheels, Sunroof, GPS"
Nissan,Elantra,GT,Petrol,Used,2023.0,Third,68-244-9841,17728.0,969489.0,Manual,Blue,Major Service at 84026 km,Valid Until [date],Available,"Alloy Wheels, Sunroof, Music System"
Maruti Suzuki,Swift,GT,Petrol,Used,2015.0,Third,45-978-6682,34297.0,314906.0,Manual,Black,Full Service History,No Current Insurance,Not Available,"Sunroof, Leather Seats, Alloy Wheels, GPS"
Kia,Kwid,LE,CNG,Needs Replacement,2017.0,Second,17-883-5727,37162.0,291598.0,Automatic,Blue,No Service Record,No Current Insurance,Not Available,"Alloy Wheels, Sunroof, GPS"
Kia,F-150,LE,Diesel,New,2023.0,Third,31-866-4876,80257.0,961848.0,Automatic (Tiptronic),Black,Major Service at 62971 km,Valid Until [date],Available,"Alloy Wheels, Sunroof"
Kia,Swift,SL,CNG,New,2016.0,Third,34-584-2231,167786.0,559015.0,Manual,Red,Major Service at 70175 km,No Current Insurance,Available,Leather Seats
Hyundai,Elantra,SL,CNG,Used,2015.0,Second,88-157-6816,167648.0,313157.0,Manual,White,Major Service at 126629 km,Valid Until [date],Not Available,Sunroof
Honda,Kwid,Highline,Diesel,Needs Replacement,2016.0,First,80-286-5282,27907.0,927545.0,Automatic (Tiptronic),White,Full Service History,No Current Insurance,Available,Sunroof
Maruti Suzuki,Kwid,LE,Diesel,New,2015.0,Third,49-635-1862,39050.0,570254.0,Manual,Grey,Full Service History,Valid Until [date],Available,"Music System, GPS, Leather Seats, Sunroof"
Kia,Camry,SE,CNG,Used,2016.0,Third,71-480-2319,65528.0,397123.0,Manual,White,Full Service History,Valid Until [date],Not Available,Alloy Wheels
Ford,Seltos,EX,Diesel,Used,2022.0,Third,43-337-5212,81936.0,426306.0,Automatic (Tiptronic),Black,Full Service History,No Current Insurance,Not Available,Alloy Wheels
Nissan,Kwid,Highline,CNG,Needs Replacement,2020.0,First,92-940-5439,40843.0,993003.0,Automatic (Tiptronic),Maroon,No Service Record,Valid Until [date],Not Available,Alloy Wheels
Nissan,Kwid,XL,Petrol,New,2022.0,Second,15-646-4336,186769.0,450938.0,Manual,Red,Full Service History,Valid Until [date],Available,"GPS, Music System"
Renault,Seltos,LE,CNG,New,2021.0,First,30-917-4391,123070.0,668722.0,Automatic,White,Major Service at 62741 km,Valid Until [date],Available,Sunroof
Ford,Sunny,LE,Petrol,Used,2016.0,Third,70-614-9885,161839.0,773716.0,Automatic (Tiptronic),Red,No Service Record,Valid Until [date],Available,Sunroof
Maruti Suzuki,Camry,GT,Diesel,Used,2023.0,Second,79-503-9727,76210.0,791620.0,Automatic,Silver,No Service Record,Valid Until [date],Available,"Alloy Wheels, Sunroof, Leather Seats"
Renault,Camry,Highline,Petrol,New,2017.0,Second,27-100-2155,108663.0,984225.0,Automatic,Maroon,Full Service History,Valid Until [date],Not Available,"GPS, Leather Seats, Alloy Wheels"
Honda,Polo,EX,CNG,New,2015.0,Third,32-848-7033,106364.0,289044.0,Manual,Grey,Full Service History,Valid Until [date],Not Available,"Alloy Wheels, Leather Seats, Sunroof"
Maruti Suzuki,Swift,RXE,Diesel,Needs Replacement,2019.0,Second,27-265-3760,48954.0,305171.0,Manual,Grey,No Service Record,No Current Insurance,Not Available,Leather Seats
Nissan,Camry,LE,Petrol,Needs Replacement,2015.0,Third,75-143-4418,89613.0,696753.0,Manual,Blue,No Service Record,Valid Until [date],Available,"Music System, Leather Seats"
Chevrolet,Seltos,LE,Petrol,New,2021.0,Second,31-396-4113,190308.0,991945.0,Automatic (Tiptronic),Blue,Full Service History,No Current Insurance,Available,"Leather Seats, GPS, Alloy Wheels, Music System"
Volkswagen,Camry,GT,Diesel,Needs Replacement,2018.0,Third,75-860-8547,52837.0,886573.0,Manual,Blue,Major Service at 143222 km,No Current Insurance,Available,Sunroof
Hyundai,Sunny,RXE,Petrol,Used,2015.0,Second,35-243-2639,83115.0,684778.0,Automatic,White,Major Service at 73026 km,No Current Insurance,Not Available,"GPS, Sunroof, Music System"
Toyota,Accord,GT,CNG,Needs Replacement,2017.0,Third,69-656-6607,145946.0,689165.0,Automatic,White,No Service Record,Valid Until [date],Available,Music System
Renault,Accord,SL,CNG,Used,2017.0,Third,72-298-8777,81093.0,826632.0,Manual,Maroon,Major Service at 113899 km,Valid Until [date],Not Available,"Alloy Wheels, Music System, GPS"
Kia,Accord,SL,CNG,Needs Replacement,2023.0,First,42-633-6480,73597.0,206617.0,Manual,White,No Service Record,No Current Insurance,Available,"Alloy Wheels, Leather Seats"
Hyundai,Swift,GT,CNG,Used,2021.0,Second,91-791-9721,148652.0,760244.0,Manual,Red,Full Service History,Valid Until [date],Not Available,Alloy Wheels
Honda,Elantra,XL,Petrol,New,2022.0,First,74-236-6420,145489.0,488701.0,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Available,"Sunroof, Music System, GPS"
Maruti Suzuki,Cruze,XL,Petrol,New,2015.0,Second,34-723-6824,123346.0,590067.0,Automatic,Red,Major Service at 117513 km,No Current Insurance,Not Available,"Alloy Wheels, Music System"
Hyundai,Elantra,Highline,CNG,Needs Replacement,2016.0,First,32-626-9519,164606.0,450927.0,Manual,Gold,No Service Record,No Current Insurance,Not Available,"Sunroof, GPS, Music System, Leather Seats"
Nissan,Polo,SE,Petrol,Used,2022.0,Third,78-484-4522,14006.0,735676.0,Manual,Red,Major Service at 54899 km,Valid Until [date],Available,"Leather Seats, GPS, Music System, Sunroof"
Toyota,Camry,LE,Petrol,Needs Replacement,2017.0,Third,33-801-8057,14585.0,411217.0,Automatic,Grey,Major Service at 84744 km,Valid Until [date],Available,"Alloy Wheels, Sunroof, Leather Seats"
Ford,Seltos,Highline,CNG,Needs Replacement,2024.0,Third,86-865-4429,38234.0,922012.0,Automatic (Tiptronic),Maroon,No Service Record,No Current Insurance,Available,"Sunroof, Alloy Wheels, Leather Seats"
Renault,Polo,RXE,CNG,Used,2024.0,Second,68-791-5235,158923.0,943554.0,Automatic,Red,Major Service at 55387 km,No Current Insurance,Available,"Leather Seats, Music System, GPS"
Ford,Elantra,EX,Diesel,New,2019.0,First,20-822-4742,79703.0,300631.0,Automatic (Tiptronic),Blue,Major Service at 121925 km,Valid Until [date],Not Available,GPS
Kia,Elantra,EX,CNG,Needs Replacement,2019.0,First,46-872-6663,70388.0,257493.0,Manual,Black,Major Service at 85479 km,No Current Insurance,Not Available,"Music System, Leather Seats, GPS"
Toyota,Accord,EX,Petrol,Used,2020.0,Second,54-447-5978,67228.0,434657.0,Automatic (Tiptronic),Gold,No Service Record,No Current Insurance,Not Available,Sunroof
Ford,Seltos,LE,CNG,Needs Replacement,2021.0,First,74-371-7443,124187.0,793995.0,Automatic,White,No Service Record,No Current Insurance,Available,Sunroof
Kia,Swift,RXE,Diesel,Used,2021.0,Second,41-556-2451,133759.0,282558.0,Manual,Silver,Full Service History,No Current Insurance,Available,GPS
Renault,Seltos,GT,Diesel,Needs Replacement,2020.0,First,92-771-4470,166626.0,203794.0,Manual,Black,Major Service at 81441 km,Valid Until [date],Not Available,"Music System, Leather Seats, Sunroof, Alloy Wheels"
Nissan,Swift,RXE,CNG,Used,2024.0,First,41-684-2064,27442.0,934595.0,Automatic,Black,No Service Record,No Current Insurance,Not Available,"Sunroof, Leather Seats, GPS"
Kia,Camry,LE,Diesel,New,2023.0,Second,14-307-9735,195345.0,916353.0,Automatic (Tiptronic),Blue,No Service Record,No Current Insurance,Available,"Alloy Wheels, Music System, Sunroof, GPS"
Toyota,Kwid,SL,CNG,New,2018.0,First,79-432-1628,45577.0,750001.0,Manual,Silver,No Service Record,No Current Insurance,Not Available,"Sunroof, GPS, Leather Seats"
Chevrolet,Swift,LE,Petrol,New,2016.0,Third,56-133-7231,64151.0,875254.0,Automatic,Red,Full Service History,Valid Until [date],Available,GPS
Maruti Suzuki,Swift,ZXI,Diesel,Needs Replacement,2022.0,Second,65-723-1270,66598.0,245367.0,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Not Available,"Leather Seats, Sunroof, Music System, Alloy Wheels"
Ford,Cruze,LE,Diesel,Needs Replacement,2015.0,Second,66-745-3337,23833.0,673516.0,Automatic (Tiptronic),Gold,Major Service at 149335 km,No Current Insurance,Available,"Leather Seats, Sunroof"
Nissan,Swift,ZXI,Diesel,New,2024.0,First,91-878-5137,46440.0,785018.0,Manual,Gold,Major Service at 77574 km,Valid Until [date],Not Available,"GPS, Alloy Wheels"
Toyota,Accord,XL,Petrol,New,2019.0,Third,19-149-9799,19064.0,976970.0,Manual,Grey,Major Service at 53718 km,Valid Until [date],Not Available,"Music System, Alloy Wheels, GPS, Sunroof"
Nissan,Seltos,EX,CNG,Needs Replacement,2019.0,Third,84-661-1477,60968.0,701517.0,Manual,Blue,Full Service History,No Current Insurance,Available,"Leather Seats, Alloy Wheels, Sunroof"
Hyundai,Sunny,GT,Petrol,New,2024.0,Second,50-226-2817,96722.0,965860.0,Automatic,White,Full Service History,Valid Until [date],Not Available,"Alloy Wheels, Sunroof, Music System, Leather Seats"
Kia,F-150,EX,Petrol,Needs Replacement,2020.0,Third,40-338-4649,56065.0,410190.0,Manual,Red,Full Service History,Valid Until [date],Available,"Leather Seats, GPS, Music System"
Nissan,Cruze,ZXI,CNG,Needs Replacement,2024.0,Third,60-201-5488,46048.0,822272.0,Manual,Maroon,Full Service History,No Current Insurance,Available,"Music System, GPS"
Chevrolet,F-150,GT,Diesel,New,2022.0,Third,13-156-3704,47055.0,919402.0,Automatic,Grey,Full Service History,No Current Insurance,Not Available,"Music System, Leather Seats"
Renault,Elantra,Highline,Petrol,New,2024.0,Third,86-284-1481,171201.0,589513.0,Manual,Black,Major Service at 130671 km,No Current Insurance,Available,Sunroof
Toyota,Cruze,EX,CNG,Used,2020.0,First,20-238-7689,85232.0,289944.0,Automatic (Tiptronic),Black,Full Service History,No Current Insurance,Available,Sunroof
Toyota,Polo,Highline,Petrol,Needs Replacement,2015.0,Third,25-149-3491,107451.0,466449.0,Automatic,Blue,Major Service at 52413 km,No Current Insurance,Not Available,Sunroof
Kia,F-150,LE,Diesel,New,2020.0,Second,66-110-6024,29292.0,609764.0,Automatic (Tiptronic),Black,Major Service at 141849 km,No Current Insurance,Available,"Leather Seats, Alloy Wheels, Sunroof"
Maruti Suzuki,Kwid,XL,Petrol,Used,2024.0,Second,55-140-1842,50640.0,740266.0,Automatic,Silver,Major Service at 116121 km,Valid Until [date],Not Available,"Alloy Wheels, Leather Seats, Music System, GPS"
Kia,Accord,LE,Petrol,New,2015.0,Second,55-798-8696,185810.0,748030.0,Automatic (Tiptronic),Red,No Service Record,Valid Until [date],Available,Sunroof
Chevrolet,Elantra,ZXI,Diesel,Needs Replacement,2020.0,Third,22-860-3014,63389.0,935139.0,Manual,Black,No Service Record,Valid Until [date],Not Available,Sunroof
Ford,Camry,EX,Petrol,New,2021.0,First,24-228-6351,82553.0,724387.0,Automatic,Silver,No Service Record,Valid Until [date],Available,Alloy Wheels
Chevrolet,Kwid,LE,Petrol,Needs Replacement,2017.0,Third,98-629-3047,45699.0,818992.0,Automatic (Tiptronic),White,Major Service at 136851 km,No Current Insurance,Available,Sunroof
Hyundai,Polo,GT,Petrol,Needs Replacement,2024.0,Third,41-807-7282,165399.0,928909.0,Automatic,Black,Major Service at 149533 km,Valid Until [date],Available,Sunroof
Volkswagen,Camry,GT,CNG,New,2020.0,Third,31-234-6031,40377.0,727091.0,Automatic (Tiptronic),Red,No Service Record,No Current Insurance,Available,Sunroof
Chevrolet,Accord,ZXI,CNG,New,2015.0,Third,76-233-3048,170219.0,406001.0,Automatic (Tiptronic),Blue,No Service Record,Valid Until [date],Not Available,"Alloy Wheels, Sunroof, Music System, Leather Seats"
Volkswagen,Cruze,EX,Petrol,Needs Replacement,2018.0,Second,99-721-1907,107590.0,278310.0,Automatic,Red,Major Service at 86835 km,Valid Until [date],Not Available,"Leather Seats, Sunroof"
Hyundai,Kwid,SL,Diesel,Used,2018.0,Third,30-853-9186,191112.0,268874.0,Automatic (Tiptronic),Silver,Major Service at 78547 km,Valid Until [date],Not Available,"Leather Seats, Sunroof"
Honda,Polo,XL,Petrol,New,2020.0,Second,86-270-9164,107626.0,517610.0,Manual,Silver,Full Service History,No Current Insurance,Not Available,Sunroof
Renault,Accord,XL,CNG,New,2017.0,Third,75-217-2938,101717.0,628920.0,Automatic (Tiptronic),Red,No Service Record,No Current Insurance,Available,"Leather Seats, Alloy Wheels"
Nissan,Accord,RXE,Diesel,New,2024.0,Third,17-420-2911,40863.0,763330.0,Automatic,White,Major Service at 115515 km,Valid Until [date],Not Available,Sunroof
Chevrolet,Sunny,RXE,CNG,Used,2021.0,Second,55-884-6645,109216.0,795647.0,Manual,Black,No Service Record,Valid Until [date],Available,"Leather Seats, GPS"
Honda,Swift,XL,Diesel,Used,2017.0,First,27-296-4925,81173.0,625770.0,Automatic,Gold,No Service Record,No Current Insurance,Available,Alloy Wheels
Renault,Camry,GT,Diesel,New,2020.0,Second,90-985-9888,74582.0,348541.0,Automatic,Gold,Full Service History,Valid Until [date],Available,Sunroof
Nissan,Cruze,RXE,Petrol,New,2018.0,Third,76-909-5519,102440.0,460192.0,Automatic (Tiptronic),Maroon,Full Service History,Valid Until [date],Available,Music System
Maruti Suzuki,Seltos,LE,Petrol,New,2017.0,Third,70-742-1465,137675.0,669660.0,Manual,Maroon,No Service Record,Valid Until [date],Not Available,"Alloy Wheels, GPS, Leather Seats"
Toyota,Camry,GT,CNG,Needs Replacement,2024.0,First,19-958-7471,170389.0,736698.0,Automatic,Black,No Service Record,No Current Insurance,Not Available,"GPS, Alloy Wheels, Leather Seats, Music System"
Honda,Cruze,RXE,Diesel,Needs Replacement,2016.0,Second,65-995-3081,11646.0,938503.0,Automatic (Tiptronic),Maroon,Full Service History,No Current Insurance,Not Available,Sunroof
Ford,Seltos,RXE,Diesel,Needs Replacement,2016.0,Third,25-960-1500,57198.0,392236.0,Automatic (Tiptronic),White,No Service Record,No Current Insurance,Available,"GPS, Music System, Sunroof, Alloy Wheels"
Maruti Suzuki,Elantra,SE,Petrol,Needs Replacement,2019.0,First,13-139-9961,181369.0,496222.0,Automatic (Tiptronic),Blue,Full Service History,Valid Until [date],Available,Sunroof
Ford,Kwid,SL,Petrol,New,2024.0,Third,11-421-6871,94629.0,997921.0,Automatic,Silver,Full Service History,Valid Until [date],Available,Sunroof
Volkswagen,Elantra,SE,CNG,Needs Replacement,2017.0,Third,30-993-6215,51973.0,918007.0,Automatic,White,No Service Record,No Current Insurance,Available,"Leather Seats, GPS, Music System"
Renault,F-150,SE,Petrol,Used,2016.0,Second,84-776-1186,39765.0,321965.0,Manual,Black,Major Service at 129871 km,No Current Insurance,Not Available,"Leather Seats, Music System, Alloy Wheels, GPS"
Volkswagen,Kwid,SE,CNG,New,2024.0,Second,14-410-1347,166864.0,544828.0,Manual,Grey,Major Service at 71470 km,No Current Insurance,Not Available,"Music System, Leather Seats"
Kia,Elantra,LE,CNG,Used,2021.0,Second,80-660-3018,78366.0,719456.0,Manual,Black,Full Service History,Valid Until [date],Available,Sunroof
Maruti Suzuki,Swift,XL,CNG,New,2022.0,Second,97-957-6784,143261.0,483789.0,Automatic,Maroon,No Service Record,Valid Until [date],Not Available,Leather Seats
Volkswagen,Swift,RXE,Petrol,Needs Replacement,2017.0,Third,82-168-3430,95842.0,985060.0,Automatic (Tiptronic),Grey,Major Service at 146660 km,Valid Until [date],Not Available,"Music System, GPS, Alloy Wheels, Leather Seats"
Kia,Sunny,EX,Petrol,Needs Replacement,2019.0,Second,11-366-5682,131200.0,444859.0,Automatic (Tiptronic),Red,No Service Record,No Current Insurance,Available,"Music System, Alloy Wheels, Sunroof, Leather Seats"
Kia,Sunny,SL,Diesel,Used,2022.0,First,96-761-8285,130633.0,217927.0,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Available,"Leather Seats, Alloy Wheels, GPS, Sunroof"
Nissan,Swift,LE,Diesel,Needs Replacement,2019.0,Third,71-610-7189,60264.0,821413.0,Manual,Gold,Full Service History,Valid Until [date],Not Available,"GPS, Music System, Leather Seats, Sunroof"
Nissan,Elantra,SE,Petrol,Needs Replacement,2024.0,Second,56-867-5034,81819.0,677643.0,Automatic,Maroon,No Service Record,No Current Insurance,Available,Music System
Maruti Suzuki,Polo,RXE,Diesel,Needs Replacement,2022.0,First,69-353-3842,147096.0,286465.0,Manual,Grey,Full Service History,Valid Until [date],Not Available,GPS
Ford,Polo,LE,Diesel,Used,2021.0,First,65-891-2378,104745.0,608310.0,Manual,White,No Service Record,Valid Until [date],Not Available,"Alloy Wheels, Sunroof"
